sid,cohort-all,cohort-easy,cohort-hard,cohort-cls0,cohort-cls1,cohort-cls2,cohort-cls3,cohort-cls4
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-063,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-064,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-065,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-066,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-067,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-068,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-069,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-070,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-071,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-072,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-073,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-074,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-075,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-076,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-077,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-078,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-079,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-080,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-000,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-001,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-002,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-003,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-004,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-005,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-006,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-007,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-008,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-009,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-010,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-011,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-012,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-013,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-014,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-015,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-016,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-017,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-018,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-019,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-020,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-021,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-022,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-023,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-024,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-025,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-026,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-027,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-028,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-029,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-030,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-031,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-032,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-033,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-034,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-035,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-036,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-037,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-038,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-039,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-040,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-041,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-042,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-043,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-044,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-045,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-046,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-047,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-048,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-049,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-050,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-051,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-052,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-053,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-054,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-055,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-056,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-057,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-058,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-059,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-060,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-061,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-062,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-063,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-064,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-065,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-066,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-067,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-068,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-069,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-070,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-071,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-072,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-073,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-074,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-075,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-076,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-077,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-078,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-079,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t02-080,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-000,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-001,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-002,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-003,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-004,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-005,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-006,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-007,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-008,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-009,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-010,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-011,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-012,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-013,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-014,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-015,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-016,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-017,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-018,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-019,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-020,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-021,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-022,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-023,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-024,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-025,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-026,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-027,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-028,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-029,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-030,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-031,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-032,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-033,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-034,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t03-035,True,True,False,False,False,False,False,True
